Unidade,Setor,Area
Narandiba,3645,39
Narandiba,3646,715
Narandiba,3647,289
Narandiba,3649,387
Narandiba,3650,51
Narandiba,3651,298
Narandiba,3652,142
Narandiba,3653,249
Narandiba,3654,17
Narandiba,3656,260
Narandiba,3657,172
Paraguaçu,3658,597
Narandiba,3659,245
Narandiba,3660,62
Narandiba,3662,333
Narandiba,3663,270
Narandiba,3664,282
Narandiba,3665,22
Narandiba,3666,5
Narandiba,3667,143
Narandiba,3669,166
Narandiba,3671,64
Narandiba,3672,20
Narandiba,3674,23
Narandiba,3678,44
Narandiba,3679,8
Narandiba,3693,32
Narandiba,3696,766
Narandiba,3707,97
Narandiba,3710,426
Narandiba,3711,95
Narandiba,3712,36
Narandiba,3714,53
Narandiba,3716,20
Narandiba,3723,89
Narandiba,3724,395
Narandiba,3726,338
Narandiba,3727,326
Narandiba,3728,216
Narandiba,3729,469
Narandiba,3730,215
Narandiba,3731,311
Paraguaçu,3738,200
Narandiba,3740,6
Narandiba,3742,44
Paraguaçu,3743,209
Paraguaçu,3744,180
Paraguaçu,3745,246
Paraguaçu,3746,293
Paraguaçu,3748,457
Narandiba,3750,109
Paraguaçu,3751,848
Paraguaçu,3753,50
Narandiba,3755,209
Narandiba,3756,342
Narandiba,3757,208
Narandiba,3758,239
Narandiba,3759,136
Narandiba,3760,85
Narandiba,3761,381
Narandiba,3762,817
Narandiba,3763,31
Narandiba,3765,536
Narandiba,3766,341
Narandiba,3767,233
Narandiba,3768,302
Narandiba,3770,202
Narandiba,3771,535
Narandiba,3772,708
Narandiba,3773,141
Narandiba,3774,135
Narandiba,3775,232
Narandiba,3776,357
Narandiba,3783,95
Narandiba,3787,80
Narandiba,3788,17
Narandiba,3789,62
Narandiba,3790,2
Narandiba,3792,5
Narandiba,3794,3
Narandiba,3795,234
Narandiba,3796,5
Narandiba,3797,23
Narandiba,3798,49
Narandiba,3799,51
Narandiba,3800,61
Narandiba,3803,605
Narandiba,3810,18
Narandiba,3812,140
Narandiba,3815,203
Narandiba,3822,35
Narandiba,3825,145
Narandiba,3828,164
Narandiba,3829,128
Narandiba,3830,61
Narandiba,3833,39
Narandiba,3835,200
Narandiba,3837,6
Narandiba,3838,198
Narandiba,3840,35
Narandiba,3845,27
Narandiba,3846,6
Narandiba,3847,14
Narandiba,3848,89
Narandiba,3849,60
Narandiba,4504,567
Narandiba,4513,260
Narandiba,4515,180
Narandiba,4517,619
Narandiba,4518,206
Narandiba,4519,139
Narandiba,4522,185
Narandiba,4639,145
Narandiba,4640,267
Narandiba,4641,133
Narandiba,4642,63
Narandiba,4643,139
Paraguaçu,4701,85
Paraguaçu,4702,506
Paraguaçu,4707,98
Paraguaçu,4724,348
Paraguaçu,4782,268
Paraguaçu,4878,140
Paraguaçu,4882,59
Paraguaçu,4883,53
Paraguaçu,4894,97
Paraguaçu,8084,42
Paraguaçu,8094,151
Paraguaçu,8122,51
Paraguaçu,8179,16
Narandiba,8258,9
Narandiba,8259,31
Paraguaçu,8260,60
Paraguaçu,8261,170
Paraguaçu,8262,252
Narandiba,10002,5
Narandiba,10003,1
Narandiba,10004,1
Narandiba,10005,1
Narandiba,10006,1
Narandiba,10012,0
